,Cloud and Capacity,Storage ,Storage Technical Specialist,Hitachi HDS (SAN),Trainings & Certification,SAN Prereq: Foundations of Storage (SS0DG) ; Storage Area networking Fundamentals (SN71DG) ,Storage Concepts: Storing And Managing Digital Data,Storage administration (HQT-6740)  ITIL Foundation,Replication (HCE-3710) ,,Hitachi Enterprise (HCE-4130) ,Storage Virtualization (HCE-5730) Replication (HCE-5710)  ITIL SO (or IT4IT L1) ITIL CSI  ,,,,,,
,E2E Operations,EUS,Access Services Operations,Microsoft ,Direct Access/AlwaysOn VPN,NA,Fundamental knowledge of Windows Server ; MS networking and digital certificates. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate knowledge of Windows Server ; MS networking and digital certificates. Independend ticket handling (L2 ; L3 level).,Advanced knowledge of Windows Server ; MS networking and digital certificates. Basic knowledge of PoweShell. Incident management (L3 level) ; Problem management ; Change management. Standard onboarding project participation.,Expert knowledge of Windows Server ; MS networking and digital certificates. Advanced knowledge of PoweShell. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of Windows Server ; MS networking and digital certificates. Advanced knowledge of PoweShell. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,Expert knowledge of Windows Server ; MS networking and digital certificates. Advanced knowledge of PoweShell. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of Windows Server ; MS networking and digital certificates. Advanced knowledge of PoweShell. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,Access Services Operations,Microsoft ,ADFS/ AAD Connect,NA,Fundamental Windows server/Azure AD/O365 knowledge. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate Windows server/Azure AD/O365 knowledge. Independend ticket handling (L2 ; L3 level).,Advanced Windows server/Azure AD/O365 knowledge. Basic knowledge of PoweShell. Incident management (L3 level) ; Problem management ; Change management. Standard onboarding project participation.,Expert knowledge of Windows server/Azure AD/O365. Advanced knowledge of PoweShell. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of Windows server/Azure AD/O365. Advanced knowledge of PoweShell. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,Expert knowledge of Windows server/Azure AD/O365. Advanced knowledge of PoweShell. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of Windows server/Azure AD/O365. Advanced knowledge of PoweShell. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,Access Services Operations,Microsoft ,Network Policy Service,NA,Fundamental knowledge of Windows Server ; MS networking and digital certificates. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate knowledge of Windows Server ; MS networking and digital certificates. Independend ticket handling (L2 ; L3 level).,Advanced knowledge of Windows Server ; MS networking and digital certificates. Incident management (L3 level) ; Problem management ; Change management. Standard onboarding project participation.,Expert knowledge of Windows Server ; MS networking and digital certificates. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of Windows Server ; MS networking and digital certificates. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,Expert knowledge of Windows Server ; MS networking and digital certificates. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of Windows Server ; MS networking and digital certificates. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,UCC Operations,Microsoft ,Skype for Business,NA,Basic knowledge of Windows server ; Skype for Business. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate knowledge of Windows server ; network and Skype for Business. Basic knowledge of PowerSchell. Independend ticket handling (L2 ; L3 level). Change implementation.,Advanced knowledge of Windows server ; Skype for Business and VoIP. Intermediate knowledge of Powershell and network.. Incident management (L3 level) ; Problem management ; Change design and implementation. Standard onboarding project participation.,Expert knowledge of Skype for Business and VoIP. Advanced knowledge of PowerShell ; network and Windows server. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of Skype for Business and VoIP. Advanced knowledge od PowerShell ; network and Windows server. Technical lead in standard onboarding projects. Participation in Product design phase.,Expert knowledge of Skype for Business and VoIP. Advanced knowledge od PowerShell ; network and Windows server. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of Skype for Business and VoIP. Advanced knowledge od PowerShell ; network and Windows server. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,UCC Operations,Cisco,Cisco UCM,NA,Basic knowledge of Cisco UCM ; VoIP ; Call routing and network. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate knowledge of Cisco UCM ; VoIP ; Call routing and network. Basic knowledge of PowerSchell. Independend ticket handling (L2 ; L3 level). Change implementation.,Advanced knowledge of Cisco UCM ; VoIP ; Call routing and network. Incident management (L3 level) ; Problem management ; Change design and implementation. Standard onboarding project participation.,Expert knowledge of Cisco UCM ; VoIP ; Call routing and network. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of Cisco UCM ; VoIP ; Call routing and network. Technical lead in standard onboarding projects. Participation in Product design phase.,Expert knowledge of Cisco UCM ; VoIP ; Call routing and network. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of Cisco UCM ; VoIP ; Call routing and network. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,UCC Operations,Cisco,Cisco VGW,NA,Basic knowledge of Cisco GW ; VoIP ; Call routing and network. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate knowledge  of Cisco GW ; VoIP ; Call routing and network. Basic knowledge of PowerSchell. Independend ticket handling (L2 ; L3 level). Change implementation.,Advanced knowledge of Cisco GW ; VoIP ; Call routing and network. Incident management (L3 level) ; Problem management ; Change design and implementation. Standard onboarding project participation.,Expert knowledge  of Cisco GW ; VoIP ; Call routing and network. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge  of Cisco GW ; VoIP ; Call routing and network. Technical lead in standard onboarding projects. Participation in Product design phase.,Expert knowledge of Cisco GW ; VoIP ; Call routing and network. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of Cisco GW ; VoIP ; Call routing and network. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,UCC Operations,Audiocodes,Session Border Controler,NA,Basic knowledge of Audiocodes Mediant SBC ; VoIP ; Call routing and network. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate knowledge  of Audiocodes Mediant SBC ; VoIP ; Call routing and network. Basic knowledge of PowerSchell. Independend ticket handling (L2 ; L3 level). Change implementation.,Advanced knowledge of Audiocodes Mediant SBC ; VoIP ; Call routing and network. Incident management (L3 level) ; Problem management ; Change design and implementation. Standard onboarding project participation.,Expert knowledge  of Audiocodes Mediant SBC ; VoIP ; Call routing and network. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge  of Audiocodes Mediant SBC ; VoIP ; Call routing and network. Technical lead in standard onboarding projects. Participation in Product design phase.,Expert knowledge of Audiocodes Mediant SBC ; VoIP ; Call routing and network. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of Audiocodes Mediant SBC ; VoIP ; Call routing and network. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,UCC Operations,Voxbone,Global Access number,NA,Basic knowledge of the product ; VoIP ; Call routing and network. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate knowledge  of the product ; VoIP ; Call routing and network. Basic knowledge of PowerSchell. Independend ticket handling (L2 ; L3 level). Change implementation.,Advanced knowledge of the product ; VoIP ; Call routing and network. Incident management (L3 level) ; Problem management ; Change design and implementation. Standard onboarding project participation.,Expert knowledge  of the product ; VoIP ; Call routing and network. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of the product ; VoIP ; Call routing and network. Technical lead in standard onboarding projects. Participation in Product design phase.,Expert knowledge of the product ; VoIP ; Call routing and network. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,NA,,,,,
,E2E Operations,EUS,UCC Operations,Praessler,PRTG Network  monitoring,NA,User knowledge of PRTG and monitored products. Understand what PRTG shows to be able handle tickets accordingly.,Intermediate knowledge of PRTG and monitored products. Active ussage of the tool (admin access). Root cause analyses. Historic data.,Advanced knowledge of PRTG and monitored products. Active ussage of the tool (admin access). Root cause analyses. Historic data. Adding new sensors and design dashboards.,Expert knowledge of PRTG and monitored products. Active ussage of the tool (admin access). Root cause analyses. Historic data. Adding new sensors and design dashboards. Installing/implementing new probes. PRTG backups and disaster recovery.,NA,NA,NA,,,,,
,SAP ,SAP ,ERP Specialist ,SAP ,SAP ,NA,basic,intermediate,advanced,expert,NA,advanced,expert,,,,,
,SAP ,SAP ,ERP Specialist ,DB,HANA,NA,basic,intermediate,advanced,expert,NA,advanced,expert,,,,,
,SAP ,SAP ,ERP Specialist ,DB ,DB2 ,NA,basic,intermediate,advanced,expert,NA,advanced,expert,,,,,
,SAP ,SAP ,ERP Specialist ,DB ,Oracle ,NA,basic,intermediate,advanced,expert,NA,advanced,expert,,,,,
,SAP ,SAP ,ERP Specialist ,DB ,MaxDB ,NA,basic,intermediate,advanced,expert,NA,advanced,expert,,,,,
,SAP ,SAP ,ERP Specialist ,OS,Linux (SLES ; RedHat),NA,basic,intermediate,advanced,expert,NA,advanced,expert,,,,,
,SAP ,SAP ,ERP Specialist ,Hypervisor ,VmWare ,NA,basic,basic,basic,intermediate,NA,basic,intermediate,,,,,
,SAP ,SAP ,ERP Specialist ,Storage ,NetApp ,NA,basic,basic,basic,intermediate,NA,basic,intermediate,,,,,
,SAP ,SAP ,ERP Specialist ,Tools ,SNOW ,NA,intermediate,intermediate,intermediate,intermediate,NA,intermediate,intermediate,,,,,
,SAP ,SAP ,ERP Specialist ,Tools ,JIRA ,NA,intermediate,intermediate,intermediate,intermediate,NA,intermediate,intermediate,,,,,
,SAP ,SAP ,ERP Specialist ,Tools,SAP Focused Run - SAP monitoring,NA,basic,intermediate,intermediate,advanced,NA,intermediate,advanced,,,,,
,SAP ,SAP ,ERP Specialist ,TDL ,Tieto Dynamic Landscape for ERP knowledge ,NA,basic,intermediate,advanced,expert,NA,advanced,expert,,,,,
,SAP ,SAP ,ERP Specialist ,TDL ,TDL portal management,NA,basic,intermediate,advanced,expert,NA,advanced,expert,,,,,
,SAP ,SAP ,ERP Specialist ,Microsoft,MS Azure knowledge,NA,basic,basic,intermediate,intermediate,NA,intermediate,intermediate,,,,,
,SAP ,SAP ,ERP Specialist ,Google,GCP knowledge,NA,basic,basic,intermediate,intermediate,NA,intermediate,intermediate,,,,,
,SAP ,SAP ,ERP Specialist ,Amazon,AWS knowledge,NA,basic,basic,intermediate,intermediate,NA,intermediate,intermediate,,,,,
,Cloud & Infra,Onsite,Technical Specialist,VMware,VMware,basic,basic,intermediate,expert,expert,expert,expert,expert,,,,,
,Cloud & Infra,Onsite,Technical Specialist,VMware,vSAN,basic,basic,intermediate,expert,expert,expert,expert,expert,,,,,
,App & Middleware,WLAS,Technical Specialist,BMC Software,Control-M,NA,Basic understanding of workload automation concept and Control-M tool. Ability to perform instructed actions in customer environments.,TS2 + regular day-to-day operations and ticket processing independently. Occasional project tasks. Scripting or JCL competence., Senior specialist working in projects ; development ; and most challenging INC/PRB/CHG. Advanced scripting or JCL competence. Capabilities for automation platform administration.,Independent lead specialist participating and driving activities with customers and other teams. Recognized cross-organizations.,,,,,,,,
,App & Middleware,WLAS,Technical Specialist,IBM,IBM Workload Scheduler (IWS),NA,Basic understanding of workload automation concept and IWS  tool. Ability to perform instructed actions in customer environments.,TS2 + regular day-to-day operations and ticket processing independently. Occasional project tasks. Scripting or JCL competence., Senior specialist working in projects ; development ; and most challenging INC/PRB/CHG. Advanced scripting or JCL competence. Capabilities for automation platform administration.,Independent lead specialist participating and driving activities with customers and other teams. Recognized cross-organizations.,,,,,,,,
,App & Middleware,WLAS,Technical Specialist,InfiniteDATA,AutomateNOW,NA,Basic understanding of workload automation concept and ANOW tool. Ability to perform instructed actions  in customer environments.,TS2 + regular day-to-day operations and ticket processing independently. Occasional project tasks. Scripting or JCL competence., Senior specialist working in projects ; development ; and most challenging INC/PRB/CHG. Advanced scripting or JCL competence. Capabilities for automation platform administration.,Independent lead specialist participating and driving activities with customers and other teams. Recognized cross-organizations.,,,,,,,,
,App & Middleware,WLAS,Technical Specialist,Broadcom,Automic,NA,Basic understanding of workload automation concept and Automic tool. Ability to perform instructed actions in customer environments.,TS2 + regular day-to-day operations and ticket processing independently. Occasional project tasks. Scripting or JCL competence., Senior specialist working in projects ; development ; and most challenging INC/PRB/CHG. Advanced scripting or JCL competence. Capabilities for automation platform administration.,Independent lead specialist participating and driving activities with customers and other teams. Recognized cross-organizations.,,,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Migration,Practical Experience for both tracks:  DataCenter Virtualization  Network Virtualization Track ,,,,,Windows server 2012 ; 2016 and newer OS ; Azure fundamentals (AZ-900) ; virtualization and vSphere concept ; learning / familiar with MaaS migrations + learning Hybrid IaaS migrations with guidance. Basic operation experience of server OS ; ActiveDirectory ; DNS ; failover clustering ; IIS ; Powershell (can run/modify scripts) ; Basic skill in Hyper-V ; Vmware ; ILO. CCNA certificate (or other vendor equivalent) / CCNP R&S level knowledge or firewall basic operation  ,Independent working on T&T and Hybrid IaaS migrations ; can troubleshoot related problems and prepare migration groups / support transition managers. Advanced knowledge of server OS ; ActiveDirectory ; DNS ; failover clustering ; Writing own/customize Powershell scripts. CCNP certified (or other vendor equivalent) / LB F5 basic operation or knowledge.,Participation on Product development    Participation on 10+ migration projects ; Expert knowledge of Migration T&T Projects + MaaS + Hybrid Cloud IaaS ; technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Program management. Experiences on multi vendor technologies / public cloud / extraordinary IT technical skills / Architecting automation & orchestration   Mentoring / training others   Participation on sales discussions & RFPs   Represents company on public events    ,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Migration - DataCenter Virtualization,Migration - DataCenter Virtualization,,,,,Basic understanding of virtualization and vSphere concepts.Demonstrates knowledge of data center technology and basic troubleshooting concepts.Managing cloud resources and basic networking concepts. ,Implement ; manage ; and troubleshoot a vSphere infrastructure ; using best practices to provide a powerful ; flexible ; and secure foundation for business agility that can accelerate the transformation to cloud computing. ,,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Migration - DataCenter Virtualization,Trainings and Certifications,,,,,Training: VMware Data Center Virtualization Core Technical Skills ,VMware vSphere : Install ; Configure ; Manage,,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Migration - DataCenter Virtualization,Trainings and Certifications,,,,,VCTA-DCV,VCP-DCV,,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Migration - DataCenter Virtualization,Migration - DataCenter Virtualization,,,,,,Managing VMware HCX® and migration of virtual machines using VMware HCX. Configuration and management of VMware HCX. Manage the lifecycle of VMware HCX.,Deploy and optimize VMware vSphere infrastructures. Best knowledge and skills to provide a scalable and reliable virtualization platform for the Customer.,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Migration - DataCenter Virtualization,Trainings and Certifications,,,,,,Vmware HCX Migration methods,VMware Certified Advanced Professional - Data Center Virtualization,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Migration - DataCenter Virtualization,Trainings and Certifications,,,,,,VCP-DCV,VCAP-DCV,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Azure ,Azure ,,,,,Learn cloud concepts such as High Availability ; Scalability ; Elasticity ; Agility ; Fault Tolerance ; and Disaster Recovery. Understand the benefits of cloud computing in Azure and how it can save you time and money. Compare and contrast basic strategies for transitioning to the Azure cloud. Explore the breadth of services available in Azure including compute ; network ; storage and security.,Managing Azure identities and governance; implementing and managing storage. Deploying and managing Azure compute resources. Configuring and managing virtual networking ; monitor and back up Azure resources. ,Subject matter expertise in designing and implementing solutions that run on Microsoft Azure ; including aspects like compute ; network ; storage ; and security. Intermediate-level skills for administering Azure ; Development and DevOps processes.,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Azure ,Trainings and Certifications,,,,,Azure Fundamentals ,Microsoft Azure Administrator,Microsoft Azure Architect,,,,,,
,Product team ,Migration Services,Migration Technical Specialist,Azure ,Trainings and Certifications,,,,,AZ-900: Azure Fundamentals,AZ-104,AZ-303 ,,,,,,
,Product team,Migration Services,Migration Technical Specialist,Migration - Network Virtualization Track ,CISCO ,,,,,Network fundamentals install ; operate ; configure ; and verify basic IPv4 and IPv6 networks. Network access ; IP connectivity ; IP services ; network security fundamentals ; automation ; and programmability.,Routing and Switching ; planing ; implementing ; verifying and troubleshooting local and wide-area enterprise networks and work collaboratively with specialists on advanced security ; voice ; wireless and video solutions.,CCNP/JNCIP/NSE4/other platforms/public cloud / SDN technologies skills / DevOps skills.,,,,,,
,Product team,Migration Services,Migration Technical Specialist,Migration - Network Virtualization Track ,CISO Trainings and Certifications,,,,,Cisco CCNA,Cisco CCNP,Multiple professional networking trainings ,,,,,,
,Product team,Migration Services,Migration Technical Specialist,Migration - Network Virtualization Track ,CISCO Trainings and Certifications,,,,,CCNA,CCNP,CCNP/JNCIP/NSE4,,,,,,
,Product team,Migration Services,Migration Technical Specialist,Migration - Network Virtualization Track ,VMware Network Virtualization Core Technical Skills ,,,,,VMware NSX platform ; understanding NSX terminology and perform navigation of NSX graphical user interface(s). SDDC and Network Virtualization concepts ; VMware Virtual Cloud Network vision ; VMware NSX Architecture and NSX portfolio.,Install ; configure ; and manage a VMware NSX-T™ Data Center environment. Key NSX-T Data Center features and functionality offered in the NSX-T Data Center 3.0 release ; overall infrastructure ; logical switching ; logical routing ; networking and security services ; micro-segmentation and firewall,Deploy and optimize VMware NSX environments ; knowledge and skills necessary to leverage best practices to provide a scalable and reliable virtualized network for your organization,,,,,,
,Product team,Migration Services,Migration Technical Specialist,Migration - Network Virtualization Track ,VMware Network Virtualization Trainings and Certifications,,,,,VMware Network Virtualization Core Technical Skills,VMware NSX-T Data Center : Install ; Configure ; Manage,VMware NSX-T Data Center : Install ; Configure ; Manage,,,,,,
,Product team,Migration Services,Migration Technical Specialist,Migration - Network Virtualization Track ,VMware Network Virtualization Trainings and Certifications,,,,,VCTA-NV,VCP-NV,VCAP-NV,,,,,,
,Product team,AIOPS and Automation,AIOPS and Automation,Azure,Azure,,,,,Learn cloud concepts such asHigh Availability ; Scalability ; Elasticity ; Agility ; Fault Tolerance ; and Disaster Recovery Understand the benefits of cloud computing in Azure Compare and contrast basic strategies for transitioning to the Azure cloud Explore of services available in Azure including compute ; network ; storage and security ,Learn Azure AI concepts such as predictive modeling and computer vision.  These modules will provide the basis for AI on Azure.  1.Introduction to artificial intelligence on Azure   Predictive modeling with Azure Machine Learning  Exploring computer vision in Microsoft Azure  Exploring natural language processing,Candidates for this exam should have subject matter expertise using cognitive services ; machine learning ; and knowledge mining to architect and implement Microsoft AI solutions involving natural language processing ; speech ; computer vision ; and conversational AI.  Responsibilities for an Azure AI Engineer include analyzing requirements for AI solutions ; recommending the appropriate tools and technologies ; and designing and implementing AI solutions that meet scalability and performance requirements.,,,,,,
,Product team,AIOPS and Automation,AIOPS and Automation,Azure,Azure Trainings and Certifications ,,,,,AZ-900: Azure Fundamentals  ,Azure AI Fundamentals,AI-100: Designing and Implementing an Azure AI Solution,,,,,,
,Product team,AIOPS and Automation,AIOPS and Automation,Python ; Bash or PowerShell,Python ; Bash or PowerShell,,,,,Learn scripting languages like Python ; PowerShell and Bash Basics,Scripting languages – Intermediate  Python Basics ; PowerShell Basics and Bash Basics – Intermediate trainings ,,,,,,,
,Product team,AIOPS and Automation,AIOPS and Automation,TEA Basic,TEA Basic,,,,,Learn basics in TEA automation platfrom  TEA platform as a user Automation job and workflow basics,TEA Advanced Training  -Advanced User Training in TEA -How to create complex jobs and worflows -TEAQL - APIs,,,,,,,
,Product team,AIOPS and Automation,AIOPS and Automation,Practical Experience,Practical Experience ,,,,,Working on real small automation use cases under mentoring of senior team members within your product/service 1 simple automation use case in production,Participation in 1+ AIOPS projects Ability to explain solution to customers Proactive improvement proposals for customers,Participation on Automation development  Mentoring / training others Participation on sales discussions & RFPs,,,,,,
,Product team,AIOPS and Automation,AIOPS and Automation,One of the following AIOPs user training depends on team and solutions,OpsRamp ; Dynatrace ; MircoFocus ,,,,,,OpsRamp   -Introductions to AIOPs https://www.youtube.com/channel/UCLpvovsRszWh2-uEv2j3dMw  Dynatrace  -Dynatrace basic online training (Udemy)  MicroFocus  -MicroFocus online trainings (MicroFocus),One of the following AIOPs user advanced training depends on team and solutions  OpsRamp   -Official certification N/A  Dynatrace  -Dynatrace basic online training (Udemy)  -Dynatrace officialonline sessions  MicroFocus  -MicroFocus online trainings (MicroFocus),,,,,,
,Product team,AIOPS and Automation,AIOPS and Automation,TOGAF ,TOGAF ,,,,,,,You will learn how to:  describe a method for defining an information system in terms of a set of building blocks. show how the building blocks fit together. contain a set of tools. provide a common vocabulary. include a list of recommended standards. include a list of compliant products that can be used to implement the building blocks,,,,,,
,Product team,AIOPS and Automation,AIOPS and Automation,TOGAF ,TOGAF trainings and certifications ,,,,,,,TOGAF 9 Foundation and Certified (optional),,,,,,
,Product team,Containers ,Containers,RedHat ,RedHat ,,,,,Red Hat OpenShift 4 Foundations provides an introduction to Red Hat OpenShift Container Platform. It explains the benefits of Red Hat OpenShift Container Platform ; identifies and qualifies use cases ; and explains Red Hat OpenShift 4 positioning in the competitive landscape. The course describes the technical architecture ; provides a tour of the OpenShift web console ; and introduces Operators ; continuous integration/continuous delivery (CI/CD) ; Red Hat OpenShift Serverless technology ; and pipelines using Red Hat OpenShift Container Platform 4.,Red Hat OpenShift Container Platform 4 Resources and Tools Application Deployment with Red Hat OpenShift Container Platform 4 Red Hat OpenShift Container Platform 4 Installation Red Hat OpenShift Container Platform 4 Configuration,Red Hat Advanced Cluster Management for Kubernetes Foundations (Early Access) Red Hat OpenShift Container Platform 4 Migration Red Hat OpenShift Serverless Foundations Red Hat OpenShift Container Platform 4 Disconnected Deployment Red Hat OpenShift Container Platform 4 Resources and Tools Automating Security and Compliance in the World of Containers and Hybrid Cloud Red Hat Container Management and Image Builds Red Hat Quay Foundations Red Hat OpenShift Container Platform 4 Troubleshooting: Authentication Red Hat OpenShift Container Platform 4 Troubleshooting: Cluster Recovery Red Hat OpenShift Container Platform 4 Troubleshooting: Hanging Cluster Installation Red Hat OpenShift Container Platform 4 Configuration Red Hat OpenShift Container Platform 4 Troubleshooting: Ingress Controller Red Hat OpenShift Container Platform Operations Red Hat OpenShift Service Mesh Foundations  RedHat Certification – Red Hat Certified Specialist in OpenShift Administration  An IT professional who is a Red Hat Certified Specialist in OpenShift Administration is able to:  Manage OpenShift Container Platform Manage users and policies Control access to resources Configure networking components Create and manage applications Configure pod scheduling Configure cluster scaling,,,,,,
,Product team,Containers ,Containers,RedHat ,RedHat Trainings,,,,,Red Hat OpenShift 4 Foundations If you are new to OpenShift ; Start with Red Hat OpenShift 4 Foundations.  ,Red Hat Delivery Specialist,RedHat Courses    Ex280: Red Hat Certified Specialist in OpenShift Administration,,,,,,
,Product team,Containers ,Containers,Kubernetes ; Docker,Kubernetes and Docker Skills,,,,,Kubernetes and Docker for absolute beginners: Udemy courses to help students understand basic technologies that OpenShift is using. Beginner level introduction to Docker Basic Docker Commands with Hands-On Exercises Build Docker images using Dockerfiles with Hands-On Exercises Gain basic understanding of Kubernetes Fundamentals Develop Kubernetes Configuration Files in YAML Deploy Kubernetes Cluster on local systems,"How to Administer a Kubernetes Cluster How to Design a Kubernetes Cluster How to Build a Kubernetes Cluster from scratch - ""The Hard Way"" How to Test a Kubernetes Cluster end-to-end How to Troubleshoot a Kubernetes Cluster How to Secure a Kubernetes Cluster How to Configure Storage on a Kubernetes Cluster How to Configure Network on a Kubernetes Cluster",Linux Foundation Certifications  Certified Kubernetes Administrator (CKA) Certified Kubernetes Application Developer (CKAD),,,,,,
,Product team,Containers ,Containers,Kubernetes ; Docker,Kubernetes and Docker Trainings and Certifications,,,,,Kubernetes and Docker for absolute beginners,Certified Kubernetes Administrator (CKA) with Practice Tests  Certified Kubernetes Administrator – Certification from Linux Foundation (CKA: Certified Kubernetes Administrator) ,CKA: Certified Kubernetes Administrator  CKAD: Certified Kubernetes Application Developer    Udemy Courses  Kubernetes Certified Application Developer (CKAD) with Tests Certified Kubernetes Administrator (CKA) with Practice Tests Prometheus | The Complete Hands-On for Monitoring & Alerting Logging in Kubernetes with EFK Stack | The Complete Guide Ansible Advanced - Hands-On - DevOps,,,,,,
,Product team,Containers ,Containers,VMware Tanzu ,VMware Tanzu Skills,,,,,Management and Operations 2020  Operators and application owners who are responsible for deploying and managing policies for multiple Kubernetes clusters across on-premises and public cloud environments.,By the end of the course ; you should be able to meet the following objectives: Describe how Tanzu Kubernetes Grid fits in the VMware TanzuTM portfolio Describe the Tanzu Kubernetes Grid architecture Deploy management clusters Deploy Tanzu Kubernetes clusters Configure your Tanzu Kubernetes Grid instance for authentication ; logging ; and ingress Perform basic troubleshooting.,VMware Enterprise PKS: Install ; Configure ; Manage [V1.5]   •  Explain how the VMware Enterprise PKS platform enables enterprises to deploy and manage the Kubernetes platform as a service on premises •  Describe the VMware Enterprise PKS platform architecture •  Describe the preinstallation activities ; such as how various topologies of VMware Enterprise PKS can be deployed ; and how to meet prerequisites before installing VMware Enterprise PKS,,,,,,
,Product team,Containers ,Containers,VMware Tanzu ,VMware Tanzu   Trainings,,,,,VMware Tanzu Mission Control,VMware Tanzu Kubernetes Grid: Install ; Configure ; Manage [V1.0],,,,,,,
